Report Time,Login,Last Authenticated At,Last Activity At,Last Surface Used
2026-03-05T18:51:44Z,donnahawkins,2026-03-05T18:12:47Z,2026-03-05T16:30:36Z,copilot-developer
2026-03-05T18:51:44Z,nbcvijayasree,2026-03-04T05:31:37Z,2026-03-03T00:42:30Z,copilot_pr_review
2026-03-05T18:51:44Z,joelcolucci,2026-03-05T17:44:20Z,2026-03-05T16:52:18Z,vscode/1.110.0/copilot-chat/0.38.0
2026-03-05T18:51:44Z,EricOyanadel-nbcuni,2026-03-05T18:03:45Z,2026-03-05T17:18:55Z,vscode/1.109.5/copilot-chat/0.37.8
2026-03-05T18:51:44Z,sverma-nbcuni,2026-03-05T17:24:39Z,2026-03-05T17:30:25Z,unknown/GitHubCopilotChat/0.38.1
2026-03-05T18:51:44Z,kdoleo,2026-03-04T21:32:04Z,2026-03-04T22:02:47Z,vscode/1.105.1/copilot-chat/0.32.5
2026-03-05T18:51:44Z,oh-lee-shah,2026-03-03T16:13:09Z,2026-03-02T20:41:40Z,unknown/GitHubCopilotChat/0.36.2
2026-03-05T18:51:44Z,Ya5in,2026-03-05T17:12:59Z,2026-03-05T17:14:15Z,copilot-cli
2026-03-05T18:51:44Z,vhochbergnbc,2026-03-05T17:57:10Z,2026-02-26T22:35:25Z,vscode/1.102.1/copilot-chat/0.29.1
2026-03-05T18:51:44Z,joe-franz-nbcu,2026-03-05T03:53:50Z,2026-03-05T03:59:26Z,copilot_pr_review
2026-03-05T18:51:44Z,sherry-nbc,2026-01-16T20:12:03Z,2026-01-16T20:12:01Z,unknown/GitHubCopilotChat/0.36.1
2026-03-05T18:51:44Z,tumasiagy-nbc,2026-03-05T17:59:16Z,2026-03-05T17:59:14Z,unknown/GitHubCopilotChat/0.37.9
2026-03-05T18:51:44Z,ranjanumesh11,2026-03-05T17:47:50Z,2026-03-05T17:51:53Z,vscode/1.109.5/copilot-chat/0.37.9
2026-03-05T18:51:44Z,C-Harrshitha,2026-03-02T08:54:56Z,2026-03-02T09:50:05Z,unknown/GitHubCopilotChat/0.36.2
2026-03-05T18:51:44Z,Ramya-gv,2026-03-05T17:35:52Z,2026-03-05T17:33:16Z,vscode/1.109.4/copilot-chat/0.37.9
2026-03-05T18:51:44Z,manasa-mr24,2026-03-05T13:25:21Z,2026-03-05T13:25:20Z,unknown/GitHubCopilotChat/0.37.9
2026-03-05T18:51:44Z,JoshuaHuntley,2026-03-05T13:39:47Z,2026-02-25T02:42:33Z,unknown/GitHubCopilotChat/0.37.5
2026-03-05T18:51:44Z,udayqvest,2026-03-05T18:05:38Z,2026-03-05T01:15:35Z,unknown/GitHubCopilotChat/0.37.6
2026-03-05T18:51:44Z,auysal55,2026-03-05T18:17:13Z,2026-03-05T17:41:26Z,vscode/1.109.5/copilot-chat/0.37.9
2026-03-05T18:51:44Z,dipalbhandari89,2026-03-05T18:21:09Z,2026-03-05T18:04:59Z,vscode/1.109.5/copilot-chat/0.37.9
2026-03-05T18:51:44Z,melimac11,2026-02-23T18:27:05Z,2026-02-23T18:28:35Z,copilot-chat-platform
2026-03-05T18:51:44Z,567482,2026-03-05T15:13:16Z,2026-03-05T15:20:04Z,copilot-chat-platform
2026-03-05T18:51:44Z,hatless,2026-03-05T18:23:51Z,2026-03-05T17:05:19Z,unknown/GitHubCopilotChat/0.38.1
2026-03-05T18:51:44Z,reubenavery,2026-03-05T18:21:02Z,2026-03-04T18:21:29Z,JetBrains-IU/253.31033.145/copilot-intellij/1.5.66-243
2026-03-05T18:51:44Z,eflamoe,2026-03-03T21:22:18Z,2026-03-03T20:07:32Z,unknown/GitHubCopilotChat/0.37.9
2026-03-05T18:51:44Z,chazcheadle,2026-03-05T18:09:43Z,2026-03-05T17:14:39Z,unknown/GitHubCopilotChat/0.37.5
2026-03-05T18:51:44Z,zrohde,2026-03-05T17:55:09Z,2026-03-02T23:20:27Z,unknown/GitHubCopilotChat/0.37.9
2026-03-05T18:51:44Z,pgrinstead1,2026-02-12T17:30:41Z,2026-02-12T17:30:46Z,copilot-cli
2026-03-05T18:51:44Z,zandercreations,2026-03-05T09:07:37Z,2026-03-05T09:07:35Z,unknown/GitHubCopilotChat/0.37.9
2026-03-05T18:51:44Z,MandeepKaurJS,2026-02-11T00:00:52Z,2026-02-07T01:40:48Z,unknown/GithubCopilot/1.396.0
2026-03-05T18:51:44Z,anasnbcnews,2026-02-23T20:55:29Z,None,None
2026-03-05T18:51:44Z,bobgon,2026-02-13T19:30:53Z,2026-01-06T19:40:31Z,JetBrains-IU/253.29346.138/
2026-03-05T18:51:44Z,nd-7038165,2026-02-23T22:40:49Z,2026-03-03T15:56:20Z,copilot_pr_review
2026-03-05T18:51:44Z,maxrpeterson,2026-03-05T17:43:48Z,2026-03-05T17:11:25Z,unknown/GitHubCopilotChat/0.37.8
2026-03-05T18:51:44Z,ianrose,2026-03-05T18:24:46Z,2026-03-05T16:54:57Z,vscode/1.110.0/copilot-chat/0.38.0
2026-03-05T18:51:44Z,victhevenot,2026-03-02T15:59:38Z,2026-02-05T17:09:59Z,copilot_pr_review
2026-03-05T18:51:44Z,samvtran,2026-03-05T18:07:21Z,2026-03-04T21:34:36Z,copilot_pr_review
2026-03-05T18:51:44Z,fdansv,2026-03-04T02:52:48Z,2026-01-16T18:25:27Z,copilot_pr_review
2026-03-05T18:51:44Z,gregdevs,2026-03-05T18:05:47Z,2026-03-05T17:44:43Z,unknown/GitHubCopilotChat/0.37.9
2026-03-05T18:51:44Z,samswartz13,2026-03-05T12:04:45Z,2026-03-05T13:05:44Z,unknown/GitHubCopilotChat/0.37.9
2026-03-05T18:51:44Z,ngoctly,2026-03-05T18:24:36Z,2026-03-05T17:39:00Z,unknown/GitHubCopilotChat/0.37.9
2026-03-05T18:51:44Z,wafishmam,2026-03-05T18:22:43Z,2026-03-05T17:01:25Z,vscode/1.106.0/copilot-chat/0.33.5
2026-03-05T18:51:44Z,marks-uni,2026-03-05T17:55:59Z,2026-03-05T17:55:49Z,unknown/GitHubCopilotChat/0.37.9
2026-03-05T18:51:44Z,lrntms,2026-02-20T02:57:24Z,2026-02-19T00:38:20Z,copilot-cli
