Login,Status,Team,Last Usage Date,Last Editor Used
craigfay,Active,github-co-pilot-group,2025-09-23,unknown/GitHubCopilotChat/0.30.3
bhabaniswain,Active,github-co-pilot-group,2025-10-06,JetBrains-IC/251.26094.121/
AnushaNBC,Active,github-co-pilot-group,2025-09-29,JetBrains-IC/242.24807.4/
melindaap,Active,github-co-pilot-group,2025-07-10,vscode/1.100.3/
saikrishna-nbcuni,Active,github-co-pilot-group,2025-09-23,unknown/GitHubCopilotChat/0.29.1
anasnbcnews,Active,devops,No activity,No activity
eldhoNBC,Active,github-co-pilot-group,2025-10-06,JetBrains-IC/241.19416.15/
jetworld12,Active,github-co-pilot-group,2025-09-22,unknown/GitHubCopilotChat/0.29.1
Castillojl,Active,github-co-pilot-group,2025-08-13,unknown/GitHubCopilotChat/0.29.1
gauravnbcu,Active,github-co-pilot-group,2025-09-26,unknown/GitHubCopilotChat/0.31.0
ritesh-shah14,Active,github-co-pilot-group,2025-09-25,vscode/1.101.2/
MandeepKaurJS,Active,devops,2025-08-05,JetBrains-IC/241.15989.150/
kush0b10,Active,github-co-pilot-group,2025-10-02,vscode/1.103.2/
cnbcbala,Active,github-co-pilot-group,2025-10-06,JetBrains-IC/251.26927.53/
ibrahimtoure,Active,github-co-pilot-group,2025-09-19,vscode/1.103.2/copilot-chat/0.30.3
EthanJMoon1020,Active,github-co-pilot-group,No activity,No activity
jasonburnell98,Active,github-co-pilot-group,2025-10-03,unknown/GitHubCopilotChat/0.29.1
sahusudeepta,Active,github-co-pilot-group,2025-09-13,JetBrains-IC/243.21565.193/
Elliotbroach,Active,github-co-pilot-group,No activity,No activity
mekonahmyers831,Active,github-co-pilot-group,2025-10-06,JetBrains-AI/241.18034.62.2412.12266719/
edgarrojas-nbcuni,Active,github-co-pilot-group,2025-10-01,JetBrains-AI/251.25410.109.2511.13752376/
MiraScarfiotti-nbcuni,Active,github-co-pilot-group,2025-09-05,vscode/1.102.0/copilot-chat/0.29.1
qasimabbas-nbcuni,Active,github-co-pilot-group,2025-08-25,vscode/1.100.3/copilot-chat/0.27.3
sjulliebNBC,Active,github-co-pilot-group,2025-10-06,JetBrains-AI/241.15989.150.2411.11948838/
MarcoCanada-nbcuni,Active,github-co-pilot-group,No activity,No activity
adrianosalas-nbcuni,Active,github-co-pilot-group,2025-10-06,JetBrains-PS/252.26199.163/
joshua-econify,Active,github-co-pilot-group,2025-10-03,unknown/GitHubCopilotChat/0.29.1
VigneshGopalan-nbcuni,Active,github-co-pilot-group,2025-07-09,JetBrains-IC/243.26053.27/
ArleysResco-nbcuni,Active,github-co-pilot-group,2025-10-03,unknown/GitHubCopilotChat/0.29.1
sigmonkycnbc,Active,github-co-pilot-group,2025-10-03,Xcode/16.2/
08fdange,Active,github-co-pilot-group,2025-09-22,vscode/1.100.2/copilot-chat/0.27.3
eugenio-velope,Active,github-co-pilot-group,No activity,No activity
greyes-eng,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.29.1
nbcu-csiverts,Active,github-co-pilot-group,2025-10-03,unknown/GitHubCopilotChat/0.29.1
pipergillman,Active,github-co-pilot-group,2025-10-03,unknown/GitHubCopilotChat/0.29.1
richard-dale-24,Active,github-co-pilot-group,2025-10-06,JetBrains-AI/242.23726.103.2422.12816248/
Vdheeraj550,Active,github-co-pilot-group,2025-10-06,JetBrains-AI/251.25410.109.2511.13665796/
kendallwhitman1,Active,github-co-pilot-group,No activity,No activity
su-nbcuni,Active,github-co-pilot-group,2025-10-06,JetBrains-AI/233.14808.21.2331.11842104/
rtchavez-cnbc,Active,github-co-pilot-group,2025-10-06,JetBrains-AI/243.26053.27.2432.13536105/
Cameronmaxcy14,Active,github-co-pilot-group,2025-09-29,unknown/unknown
ngoctly,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.30.1
rarvanites-nbcuni,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.31.3
adamhh-nbc,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.30.0
danfalk-nbc,Active,github-co-pilot-group,2025-10-06,Neovim/0.10.3/
erenaltaygilcnbc,Active,github-co-pilot-group,No activity,No activity
vthanuja,Active,github-co-pilot-group,2025-09-10,JetBrains-IC/221.5080.210/copilot-intellij/1.4.6.4092
VicLeB,Active,github-co-pilot-group,2025-10-06,vscode/1.96.4/
jayacados-nbc,Active,github-co-pilot-group,2025-09-29,JetBrains-AI/243.22562.218.2431.13114758/
srajeevan89,Active,github-co-pilot-group,2025-08-26,vscode/1.100.3/copilot-chat/0.27.3
sbengtson,Active,github-co-pilot-group,2025-10-03,unknown/GitHubCopilotChat/0.29.1
Sozikg,Active,github-co-pilot-group,2025-10-05,vscode/1.103.2/copilot-chat/0.30.3
hbarreiro,Active,github-co-pilot-group,2025-10-06,JetBrains-AI/251.25410.109.2511.13665796/
Goutham-Vinith,Active,github-co-pilot-group,2025-10-01,unknown/GitHubCopilotChat/0.29.1
hershil-vora,Active,github-co-pilot-group,2025-10-03,unknown/GitHubCopilotChat/0.31.0
aaron-saul,Active,github-co-pilot-group,2025-10-03,JetBrains-PC/251.25410.159/
vimal-tavant,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.29.1
jessie-anderson-nbc,Active,github-co-pilot-group,2025-10-06,vscode/1.101.1/
PaulThilak2,Active,github-co-pilot-group,2025-08-29,JetBrains-IC/243.25659.39/
SatyajitKadam23,Active,github-co-pilot-group,2025-09-09,JetBrains-IC/251.26927.53/
RidhimaNBCU,Active,github-co-pilot-group,2025-09-30,JetBrains-IC/241.19416.15/
msilvanbc,Active,github-co-pilot-group,2025-10-01,vscode/1.103.2/copilot-chat/0.30.3
gaonkarmedha,Active,github-co-pilot-group,2025-10-02,JetBrains-IC/251.26927.53/
