Report Time,Login,Last Authenticated At,Last Activity At,Last Surface Used
2025-10-24T15:15:36Z,mekonahmyers831,2025-10-23T19:13:55Z,2025-10-23T19:14:38Z,copilot_pr_review
2025-10-24T15:15:36Z,BetweenTwoBits,2025-10-21T21:37:15Z,2025-10-16T20:49:02Z,copilot_pr_review
2025-10-24T15:15:36Z,AbhilashK,2025-10-24T14:41:32Z,2025-10-24T14:43:30Z,JetBrains-IC/251.28293.39/copilot-intellij/1.5.56-243
2025-10-24T15:15:36Z,eldhoNBC,2025-10-24T13:07:11Z,2025-10-23T19:26:59Z,JetBrains-IC/241.19416.15/copilot-intellij/1.5.50-241
2025-10-24T15:15:36Z,Brian-z,2025-10-22T19:02:31Z,2025-10-14T15:19:48Z,JetBrains-IU/231.8770.65/
2025-10-24T15:15:36Z,Elliotbroach,None,None,None
2025-10-24T15:15:36Z,connorsavagenbcuni,2025-10-23T16:12:28Z,2025-10-23T16:13:35Z,copilot_pr_review
2025-10-24T15:15:36Z,08fdange,2025-10-03T19:40:06Z,2025-09-22T21:03:19Z,vscode/1.100.2/copilot-chat/0.27.3
2025-10-24T15:15:36Z,ibrahimtoure,2025-10-16T18:49:28Z,2025-10-16T18:50:17Z,vscode/1.104.0/copilot-chat/0.31.5
2025-10-24T15:15:36Z,jessie-anderson-nbc,2025-10-23T13:28:49Z,2025-10-21T13:38:00Z,vscode/1.105.0/
2025-10-24T15:15:36Z,bsoares-nbcuni,2025-10-24T14:32:48Z,2025-10-23T18:43:54Z,Neovim/0.11.3/copilot.lua/1.384.0
2025-10-24T15:15:36Z,StirlingBaker,2025-10-24T03:46:46Z,2025-10-23T20:29:03Z,vscode/1.104.0/
2025-10-24T15:15:36Z,ArleysResco-nbcuni,2025-10-24T02:10:37Z,2025-10-24T02:10:50Z,vscode/1.105.0/copilot-chat/0.31.5
2025-10-24T15:15:36Z,adrianosalas-nbcuni,2025-10-23T21:27:30Z,2025-10-23T21:27:44Z,vscode/1.105.0/copilot-chat/0.32.1
2025-10-24T15:15:36Z,tadvi,2025-10-24T14:18:42Z,2025-10-24T13:47:35Z,Neovim/0.11.2/copilot.lua/1.373.0
2025-10-24T15:15:36Z,ngoctly,2025-10-23T16:59:00Z,2025-10-22T17:55:28Z,vscode/1.103.1/copilot-chat/0.30.3
2025-10-24T15:15:36Z,kush0b10,2025-10-24T10:01:32Z,2025-10-02T12:07:53Z,vscode/1.103.2/copilot-chat/0.30.3
2025-10-24T15:15:36Z,Sozikg,2025-10-22T17:18:43Z,2025-10-22T17:19:11Z,vscode/1.105.0/copilot-chat/0.31.5
2025-10-24T15:15:36Z,Alekhya2304,2025-10-23T19:42:29Z,2025-10-23T19:44:31Z,vscode/1.104.1/copilot-chat/0.31.5
2025-10-24T15:15:36Z,opiuman,2025-10-13T20:34:51Z,2025-10-13T20:35:05Z,vscode/1.104.3/copilot-chat/0.31.5
2025-10-24T15:15:36Z,juampynr,None,None,None
